ID;Post Name;Display Name;Type;Tables;Calculated
3.0030;Raise Equity for a Project;Has this deal closed?;;;
3.0031;Raise Equity for a Project;Is this a Past Deal?;;;
3.0032;Raise Equity for a Project;Location;google;zip, city, and street address;
3.0033;Raise Equity for a Project;;;;
3.0034;Raise Equity for a Project;;;;
3.0035;Raise Equity for a Project;;;;
3.0036;Raise Equity for a Project;;;;
3.0037;Raise Equity for a Project;;;;
3.0038;Raise Equity for a Project;;;;
3.0039;Raise Equity for a Project;;;;
3.0040;Raise Equity for a Project;LP Equity - Amount Required;text;;
3.0041;Raise Equity for a Project;GP Equity Amount Required;text;;
3.0042;Raise Equity for a Project;;;;
3.0043;Raise Equity for a Project;;;;
3.0044;Raise Equity for a Project;;;;
3.0045;Raise Equity for a Project;;;;
3.0046;Raise Equity for a Project;;;;
3.0047;Raise Equity for a Project;Total Project Cost;integer;;
3.0079;Raise Equity for a Project;;;;
3.0048;Raise Equity for a Project;;;;
3.0049;Raise Equity for a Project;LP Equity;checkbox;;
3.0050;Raise Equity for a Project;;;;
3.0051;Raise Equity for a Project;LP Equity -  hard committed;text;;
3.0052;Raise Equity for a Project;% of Total Equity;calculated;;(3.0040) / (3.0057)
3.0053;Raise Equity for a Project;GP Equity ;checkbox;;
3.0054;Raise Equity for a Project;;;;
3.0055;Raise Equity for a Project;GP amounts hard committed;text;;
3.0056;Raise Equity for a Project;% of Total Equity;calculated;;PQR
3.0057;Raise Equity for a Project;Total Equity;calculated;;(3.0050) + (3.0054)
3.0058;Raise Equity for a Project;% of Total Project;calculated;;(3.0057) / (1.0024)
3.0059;Raise Equity for a Project;Equity required By;date;;
3.0060;Raise Equity for a Project;Investment Method;dropdown;table dd1;
3.0061;Raise Equity for a Project;Going in Cap Rate;integer;;
3.0062;Raise Equity for a Project;Investment Term;text;;
3.0063;Raise Equity for a Project;;;;
3.0064;Raise Equity for a Project;Asset Type;dropdown;table a;
3.0065;Raise Equity for a Project;Class Rating;;table k;
3.0066;Raise Equity for a Project;Project Condition;dropdown;table jjf;
3.0067;Raise Equity for a Project;Risk Profile;dropdown;table e;
