ID;Post Name;Display Name;Type;Tables;Calculated
2.0030;Invest Equity into Projects;;;;
2.0031;Invest Equity into Projects;;;;
2.0032;Invest Equity into Projects;Location;google;Nation, Region, State, County, Zip, City;
2.0033;Invest Equity into Projects;I am a;dropdown;;
2.0034;Invest Equity into Projects;Direct into Project;checkbox;;
2.0035;Invest Equity into Projects;Investment Properties;checkbox;;
2.0036;Invest Equity into Projects;In Forward Purchases;checkbox;;
2.0037;Invest Equity into Projects;With Operating Partners;checkbox;;
2.0038;Invest Equity into Projects;Real Estate Funds;checkbox;;
2.0039;Invest Equity into Projects;DST's (Alternative Assets);checkbox;;
2.0040;Invest Equity into Projects;LP Equity;checkbox;;
2.0041;Invest Equity into Projects;GP Equity;checkbox;;
2.0042;Invest Equity into Projects;Mezzanine;checkbox;;
2.0043;Invest Equity into Projects;Junior Debt;checkbox;;
2.0044;Invest Equity into Projects;Senior Debt;checkbox;;
2.0045;Invest Equity into Projects;1031 exchange;checkbox;;
2.0046;Invest Equity into Projects;Operating Partners;checkbox;;
2.0047;Invest Equity into Projects;Deal Sizes Considered ;dropdown;Table FR ;
2.0079;Invest Equity into Projects;;;;
2.0048;Invest Equity into Projects;;;;
2.0049;Invest Equity into Projects;;;;
2.0050;Invest Equity into Projects;Average Investment Amounts;dropdown;Table FR ;
2.0051;Invest Equity into Projects;;;;
2.0052;Invest Equity into Projects;;;;
2.0053;Invest Equity into Projects;;;;
2.0054;Invest Equity into Projects;;;;
2.0055;Invest Equity into Projects;;;;
2.0056;Invest Equity into Projects;;;;
2.0057;Invest Equity into Projects;Average Equity Investment;dropdown;Table FS;
2.0058;Invest Equity into Projects;;;;
2.0059;Invest Equity into Projects;;;;
2.0060;Invest Equity into Projects;;;;
2.0061;Invest Equity into Projects;Going in Cap Rate;dropdown;Table FU ;
2.0062;Invest Equity into Projects;Typical Investment Term;dropdown;Table QG;
2.0063;Invest Equity into Projects;Typical Decision Timeframe;text;;
2.0064;Invest Equity into Projects;Properties Types We Consider;dropdown;Table A;
2.0065;Invest Equity into Projects;Class Rating;dropdown;Table K;
2.0066;Invest Equity into Projects;Asset Status Considered;dropdown;Table JJF;
2.0067;Invest Equity into Projects;Risk Profile;dropdown;Table E;
2.0068;Invest Equity into Projects;Deal Stages Considered;dropdown;Table FA;
2.0069;Invest Equity into Projects;Asset Strategies Considered;dropdown;Table B;
2.0070;Invest Equity into Projects;Lease Types;dropdown;Table H;
2.0071;Invest Equity into Projects;Single Tenant Leased;radio button;;
2.0072;Invest Equity into Projects;Multiple Tenant Leased;radio button;;
2.0073;Invest Equity into Projects;Cash On Cash %;dropdown;Table QC ;
2.0074;Invest Equity into Projects;IRR%;dropdown;Table QD ;
2.0075;Invest Equity into Projects;Minimum ROE / (times multiple) ;dropdown;Table QK;
2.0076;Invest Equity into Projects;Projected Exit Cap Rate;dropdown;Table FT ;
2.0077;Invest Equity into Projects;"Min. Preferred Return change text to ""Preferred Return""";dropdown;Table QH;
2.0078;Invest Equity into Projects;Missing Projected Sale Price?;;;
;Invest Equity into Projects;;;;
2.0080;Invest Equity into Projects;;;;
2.0081;Invest Equity into Projects;;;;
2.0082;Invest Equity into Projects;;;;
2.0083;;;;;
2.0084;;;;;
2.0085;;;;;
2.0086;;;;;
;;;;;
2.0088;;;;;
2.0089;Lender: Loan Product;;;;
2.0090;Lender: Loan Product;;;;
2.0091;Lender: Loan Product;Location;google;Nation, Region, State, County, Zip, City;
2.0092;Lender: Loan Product;;;;
2.0093;Lender: Loan Product;;;;
2.0094;Lender: Loan Product;;;;
2.0095;Lender: Loan Product;;;;
2.0103;Lender: Loan Product;We Are a;dropdown;Table Q1;
2.0104;Lender: Loan Product;Loans Provide Provided(Mezzanine, Junior Debt, Senior Debt);dropdown;Table FAE;
2.0105;Lender: Loan Product;Loan Use (Loan Type);dropdown;Table L;
2.0106;Lender: Loan Product;Loan Amounts;dropdown;Table QL;
2.0107;Lender: Loan Product;Loan Term;dropdown;Table QM;
2.0108;Lender: Loan Product;Borrowers Type Considered;dropdown ;Table QS;
2.0109;Lender: Loan Product;Minimal Debt Service Coverage Ratio (DSCR);text;;
2.0110;Lender: Loan Product;Typical Interest Rate Range;range ;;
2.0111;Lender: Loan Product;Average Decision Time Frame;;;
2.0112;Lender: Loan Product;Loan to Value (LTV);dropdown;Table QE;
2.0113;Lender: Loan Product;Loan to Cost (LTC);dropdown;Table QP;
2.0114;Lender: Loan Product;After Repaired/Renovated/Rehabbed Value (ARV);text;;
2.0115;Lender: Loan Product;Points;integer;;
2.0116;Lender: Loan Product;Amortization Types Available:;dropdown;Table QN;
2.0117;Lender: Loan Product;Application Fee (%);integer;;
2.0118;Lender: Loan Product;Application Fee Fixed ($);integer;;
2.0119;Lender: Loan Product;Origination Fee (%);text;;
2.0120;Lender: Loan Product;Appraisal Fee;integer;;
2.0121;Lender: Loan Product;Legal Fee;integer;;
2.0122;Lender: Loan Product;Engineering Fee;integer;;
2.0123;Lender: Loan Product;Processing Fee;integer;;
2.0124;Lender: Loan Product;Rate Lock Fee;integer;;
2.0125;Lender: Loan Product;Reserve Requirements;dropdown;"Hospitality - Per Bed
Multifamily - Per Unit
Office - Per SqFt.";
2.0126;Lender: Loan Product;Reserve Percentage Base;text;;
2.0127;Lender: Loan Product;Forward Commitment Period - verify with Samson;checkbox ;;
2.0128;Lender: Loan Product;Prepayment Penalty;dropdown;Table QR;
2.0129;Lender: Loan Product;End of Term Payoff Window;text;Table QS;
2.0130;Lender: Loan Product;No Prepayment Filter;checkbox ;;
2.0131;Lender: Loan Product;Guarantee Options:;checkbox ;;
2.0132;Lender: Loan Product;Typical Time from App to Close;range;;
2.0133;Lender: Loan Product;Typical Processing Time From;range;;
2.0134;Lender: Loan Product;Personal Guarantee;dropdown;Table L1;
2.0135;Lender: Loan Product;Interest Type;dropdown;Table L2;
2.0136;Lender: Loan Product;Minimum % Pre-Leased or Pre-Sold;integer;;
2.0137;Lender: Loan Product;Lease Type;;;
2.0138;Lender: Loan Product;Percentage Leased;;;
2.0139;Lender: Loan Product;Type(s) of physical structure eligible for this program:;dropdown;;
2.0140;Lender: Loan Product;Vacancy Factor;;;
2.0141;Lender: Loan Product;Year Built;year;;
2.0142;Lender: Loan Product;Year Renovated;year;;
2.0143;Lender: Loan Product;Property Types We Like;dropdown;Table A;
2.0144;Lender: Loan Product;Asset Strategies Considered;dropdown;Table B;
2.0145;Lender: Loan Product;Asset Status We Consider;dropdown;Table JJF;
2.0146;Lender: Loan Product;Class Rating;dropdown;Table K;
2.0147;Lender: Loan Product;Risk Profile;dropdown;Table E;
2.0148;Lender: Loan Product;Lending Methods Considered;;;
2.0149;Lender: Loan Product;;;;
2.0150;Lender: Loan Product;;;;
2.0151;Lender: Loan Product;;;;
2.0152;Lender: Loan Product;;;;
2.0153;Lender: Loan Product;;;;
